question1,question2,is_duplicate
What are renewable energy sources?,What are the causes of climate change?,0
What are the symptoms of depression?,How does the stock market work?,0
How do I prepare for a job interview?,What are the steps to prepare for a job interview?,1
How do I improve my English speaking skills?,How can I build a strong personal brand online?,0
What is deep learning and neural networks?,How do I negotiate a salary increase?,0
How do I improve my sleep quality?,How can I improve my writing skills?,0
What are the symptoms of diabetes?,Can you describe the symptoms of diabetes?,1
How do I cook a perfect pasta dish at home?,What are the steps to cook a perfect pasta dish at home?,1
What is blockchain technology?,Please explain blockchain technology?,1
What is deep learning and neural networks?,Please explain deep learning and neural networks?,1
What are the benefits of regular exercise?,What is quantum computing and its applications?,0
How do I negotiate a salary increase?,What are the steps to negotiate a salary increase?,1
How can I be more productive at work?,What is the best way to more be productive at work?,1
What is quantum computing and its applications?,Please explain quantum computing and its applications?,1
What are the health benefits of drinking green tea?,What is the difference between AI and machine learning?,0
How do I improve my English speaking skills?,What are the to steps improve my English speaking skills?,1
How do I learn a new language quickly?,What are steps the to learn a new language quickly?,1
How do I negotiate a salary increase?,How can I improve my writing skills?,0
What is the difference between AI and machine learning?,Please explain the difference between AI and machine learning?,1
What are the causes of climate change?,How can I reduce stress and anxiety in daily life?,0
What are the benefits of regular exercise?,Can you describe the benefits of regular exercise?,1
What are renewable energy sources?,What are the causes of climate change?,0
How can I improve my writing skills?,What is the best way to improve my writing skills?,1
What is deep learning and neural networks?,Please explain deep learning and neural networks?,1
How do I prepare for a job interview?,What are the steps to prepare a for job interview?,1
What is the difference between AI and machine learning?,Please explain the difference AI between and machine learning?,1
How do I improve my English speaking skills?,How can I improve my memory and concentration?,0
What are the causes of climate change?,How do I learn a new language quickly?,0
What is deep learning and neural networks?,What is machine learning and how does it work?,0
What is data science and its applications?,Please explain data science and its applications?,1
How do I prepare for a job interview?,What are the steps to prepare for a job interview?,1
How can I improve my memory and concentration?,What is data science and its applications?,0
How do I learn a new language quickly?,What are the health benefits of drinking green tea?,0
How does the stock market work?,How does the stock market work?,1
What is blockchain technology?,Please explain blockchain technology?,1
What is data science and its applications?,explain Please data science and its applications?,1
What are the best practices for software development?,What are the causes of climate change?,0
How can I improve my memory and concentration?,What the is best way to improve my memory and concentration?,1
What are renewable energy sources?,What are renewable energy sources?,1
How do I negotiate a salary increase?,What are the steps to negotiate a salary increase?,1
How do I learn a new language quickly?,How do I improve my English speaking skills?,0
What are the symptoms of depression?,How can I improve my memory and concentration?,0
What is the difference between Java and Python?,Please explain the difference between Java and Python?,1
What are the health benefits of drinking green tea?,Can you describe the health benefits of drinking green tea?,1
What are the benefits of regular exercise?,How do I cook a perfect pasta dish at home?,0
What are the symptoms of depression?,Can you describe the symptoms of depression?,1
What is the difference between Java and Python?,Please explain the difference between Java and Python?,1
How can I improve my writing skills?,What is quantum computing and its applications?,0
How can I improve my memory and concentration?,What is the best way to improve my memory and concentration?,1
What are the health benefits of drinking green tea?,What are the symptoms of depression?,0
How do I negotiate a salary increase?,What are the steps to negotiate a salary increase?,1
What are the health benefits of drinking green tea?,Can you describe the health benefits of drinking green tea?,1
What is the difference between AI and machine learning?,Please explain the difference between and AI machine learning?,1
How can I reduce stress and anxiety in daily life?,How can I lose weight quickly and safely?,0
What is deep learning and neural networks?,How can I reduce stress and anxiety in daily life?,0
What is quantum computing and its applications?,Please explain quantum and computing its applications?,1
What are the best practices for software development?,How can I improve my writing skills?,0
How do I cook a perfect pasta dish at home?,What are the symptoms of depression?,0
What is the difference between Java and Python?,How do I cook a perfect pasta dish at home?,0
How can I build a strong personal brand online?,What are the causes of climate change?,0
How do I start a successful business from scratch?,What are the steps to start a successful business from scratch?,1
How can I build a strong personal brand online?,What is the best way to build a strong personal brand online?,1
How can I lose weight quickly and safely?,What the is best way to lose weight quickly and safely?,1
How can I lose weight quickly and safely?,What are the symptoms of depression?,0
What are the health benefits of drinking green tea?,Can you describe the health benefits of drinking green tea?,1
How can I save money on a tight budget?,How do I cook a perfect pasta dish at home?,0
What are the best practices for software development?,What is deep learning and neural networks?,0
What is the difference between Java and Python?,Please explain the difference between Java and Python?,1
How do I learn a new language quickly?,What is machine learning and how does it work?,0
What are the best practices for software development?,Can you describe the best practices for software development?,1
What is the best way to learn Python programming?,What is data science and its applications?,0
How can I improve my memory and concentration?,What is the difference between Java and Python?,0
How do I negotiate a salary increase?,What are the steps to negotiate a salary increase?,1
How do I negotiate a salary increase?,What are the steps to negotiate a salary increase?,1
What are the benefits of regular exercise?,Can you describe the benefits of regular exercise?,1
What is the difference between Java and Python?,How can I reduce stress and anxiety in daily life?,0
How do I learn a new language quickly?,What are the steps to learn a new language quickly?,1
What is the best way to learn Python programming?,What is the most effective approach to learn Python programming?,1
How can I reduce stress and anxiety in daily life?,What is the best way to reduce stress and anxiety in daily life?,1
How can I build a strong personal brand online?,What is the best way to build a strong personal brand online?,1
How do I improve my sleep quality?,What are the causes of climate change?,0
What are the symptoms of diabetes?,Can you describe the symptoms of diabetes?,1
How do I improve my English speaking skills?,How do I negotiate a salary increase?,0
What are the symptoms of diabetes?,What is deep learning and neural networks?,0
What are the symptoms of depression?,What is the difference between AI and machine learning?,0
What is quantum computing and its applications?,What is the best way to learn Python programming?,0
How do I improve my sleep quality?,What are steps the to improve my sleep quality?,1
What are the symptoms of diabetes?,Can you describe the symptoms of diabetes?,1
What is quantum computing and its applications?,Please explain quantum computing and its applications?,1
How do I learn a new language quickly?,What are the steps to learn a new language quickly?,1
What are renewable energy sources?,What is machine learning and how does it work?,0
How do I learn a new language quickly?,What are the steps to learn a new language quickly?,1
What are renewable energy sources?,What are renewable energy sources?,1
How do I improve my English speaking skills?,How can I save money on a tight budget?,0
How do I prepare for a job interview?,How does the stock market work?,0
How do I start a successful business from scratch?,What are the steps to start a successful business from scratch?,1
What are the symptoms of diabetes?,Can you describe the symptoms of diabetes?,1
How do I improve my English speaking skills?,What is data science and its applications?,0
How can I be more productive at work?,How do I learn a new language quickly?,0
What are the symptoms of diabetes?,Can you the describe symptoms of diabetes?,1
What is machine learning and how does it work?,Please explain machine learning and how does it work?,1
What are the causes of climate change?,Can you describe the causes of climate change?,1
How do I prepare for a job interview?,How can I lose weight quickly and safely?,0
How does the stock market work?,How do I negotiate a salary increase?,0
What is deep learning and neural networks?,How do I prepare for a job interview?,0
What are the benefits of regular exercise?,you Can describe the benefits of regular exercise?,1
How can I improve my memory and concentration?,What is blockchain technology?,0
What are the best practices for software development?,Can you the describe best practices for software development?,1
What is quantum computing and its applications?,Please explain quantum computing and its applications?,1
What are the best practices for software development?,What is data science and its applications?,0
How do I learn a new language quickly?,What are the steps to learn new a language quickly?,1
What is data science and its applications?,Please explain data science and its applications?,1
How can I lose weight quickly and safely?,What is data science and its applications?,0
How can I improve my memory and concentration?,What is the best way to improve my memory and concentration?,1
What are the best practices for software development?,Can you describe the best practices for software development?,1
How do I improve my English speaking skills?,What are the steps to improve my English speaking skills?,1
What are the best practices for software development?,Can you describe the best practices for software development?,1
What is data science and its applications?,Please explain data science and its applications?,1
How does the stock market work?,What is the best way to learn Python programming?,0
What is the difference between AI and machine learning?,What is the best way to learn Python programming?,0
What is the difference between AI and machine learning?,Please explain the difference between AI and machine learning?,1
How do I learn a new language quickly?,What are the steps to learn new a language quickly?,1
How do I cook a perfect pasta dish at home?,How do I learn a new language quickly?,0
How do I improve my sleep quality?,What is quantum computing and its applications?,0
What is data science and its applications?,How do I learn a new language quickly?,0
What are the health benefits of drinking green tea?,How can I improve my writing skills?,0
What are the benefits of regular exercise?,How do I improve my English speaking skills?,0
What is blockchain technology?,Please explain blockchain technology?,1
What are the symptoms of diabetes?,Can you describe the symptoms of diabetes?,1
How do I prepare for a job interview?,What are the steps to prepare for a job interview?,1
What are the health benefits of drinking green tea?,What is the difference between Java and Python?,0
How can I build a strong personal brand online?,What are the symptoms of diabetes?,0
How do I start a successful business from scratch?,What are renewable energy sources?,0
How can I build a strong personal brand online?,How do I cook a perfect pasta dish at home?,0
What are renewable energy sources?,What are renewable energy sources?,1
How do I learn a new language quickly?,What are the steps to learn a new language quickly?,1
What is deep learning and neural networks?,How does the stock market work?,0
What is the difference between Java and Python?,Please explain the difference between Java and Python?,1
What are the causes of climate change?,Can you describe the causes of climate change?,1
What are the causes of climate change?,What is the difference between AI and machine learning?,0
How can I reduce stress and anxiety in daily life?,How can I lose weight quickly and safely?,0
What is quantum computing and its applications?,How do I prepare for a job interview?,0
How do I negotiate a salary increase?,How can I reduce stress and anxiety in daily life?,0
How do I improve my sleep quality?,How can I be more productive at work?,0
How can I reduce stress and anxiety in daily life?,What is the best way to reduce and stress anxiety in daily life?,1
How do I improve my sleep quality?,How do I start a successful business from scratch?,0
How do I negotiate a salary increase?,How do I improve my sleep quality?,0
How can I lose weight quickly and safely?,How can I save money on a tight budget?,0
How can I improve my memory and concentration?,How do I start a successful business from scratch?,0
What are renewable energy sources?,How do I start a successful business from scratch?,0
How can I build a strong personal brand online?,How can I be more productive at work?,0
What is data science and its applications?,Please explain data science and its applications?,1
How can I save money on a tight budget?,What is the best way to save money on a tight budget?,1
What is the best way to learn Python programming?,What is the most effective approach to learn Python programming?,1
How can I improve my memory and concentration?,What is the way best to improve my memory and concentration?,1
How does the stock market work?,What is machine learning and how does it work?,0
What are the causes of climate change?,How do I start a successful business from scratch?,0
What is the best way to learn Python programming?,What is the most approach effective to learn Python programming?,1
How can I be more productive at work?,What is the difference between Java and Python?,0
How can I save money on a tight budget?,What is deep learning and neural networks?,0
How do I improve my English speaking skills?,What are the steps improve to my English speaking skills?,1
How do I improve my English speaking skills?,How do I prepare for a job interview?,0
How do I cook a perfect pasta dish at home?,What are the steps to cook a perfect pasta dish at home?,1
How can I lose weight quickly and safely?,What is the best way to weight lose quickly and safely?,1
What are the benefits of regular exercise?,What are the symptoms of depression?,0
How can I improve my writing skills?,How can I save money on a tight budget?,0
How can I lose weight quickly and safely?,What is the best way to lose weight quickly and safely?,1
What are the causes of climate change?,How can I build a strong personal brand online?,0
What is quantum computing and its applications?,How can I save money on a tight budget?,0
What are the symptoms of diabetes?,Can you describe the symptoms of diabetes?,1
What is data science and its applications?,How do I learn a new language quickly?,0
How do I improve my English speaking skills?,What is deep learning and neural networks?,0
How do I start a successful business from scratch?,What are the steps to start a successful business from scratch?,1
What is machine learning and how does it work?,What are the best practices for software development?,0
What are the symptoms of depression?,What is the difference between AI and machine learning?,0
How do I improve my sleep quality?,What are the steps to improve my sleep quality?,1
What are the best practices for software development?,Can you describe the practices best for software development?,1
How do I improve my English speaking skills?,What are the steps to improve my English speaking skills?,1
What is data science and its applications?,Please explain data science and its applications?,1
What are the health benefits of drinking green tea?,What is the difference between AI and machine learning?,0
How do I negotiate a salary increase?,What are the steps to negotiate a salary increase?,1
How can I lose weight quickly and safely?,What is the best way to lose weight quickly and safely?,1
What are the causes of climate change?,Can you describe the causes of climate change?,1
How do I prepare for a job interview?,What is data science and its applications?,0
How do I prepare for a job interview?,What are the steps to prepare for a job interview?,1
What are the benefits of regular exercise?,How can I lose weight quickly and safely?,0
How can I lose weight quickly and safely?,What is the difference between Java and Python?,0
How do I cook a perfect pasta dish at home?,What are the steps to cook a perfect pasta dish at home?,1
What are renewable energy sources?,What are renewable energy sources?,1
How do I cook a perfect pasta dish at home?,What is deep learning and neural networks?,0
What are the symptoms of depression?,Can you the describe symptoms of depression?,1
How can I improve my memory and concentration?,How do I cook a perfect pasta dish at home?,0
What are renewable energy sources?,What are renewable energy sources?,1
How can I save money on a tight budget?,What are renewable energy sources?,0
What are the health benefits of drinking green tea?,What are the symptoms of diabetes?,0
How do I learn a new language quickly?,What is the difference between AI and machine learning?,0
How can I improve my writing skills?,What is the best way to improve my writing skills?,1
How do I negotiate a salary increase?,How can I lose weight quickly and safely?,0
How can I reduce stress and anxiety in daily life?,What is the best way to reduce stress and anxiety in daily life?,1
What is data science and its applications?,How do I negotiate a salary increase?,0
What is quantum computing and its applications?,Please explain quantum computing and its applications?,1
How do I negotiate a salary increase?,What are the steps to negotiate a salary increase?,1
How can I be more productive at work?,How do I start a successful business from scratch?,0
How do I learn a new language quickly?,What are the steps to learn a new language quickly?,1
How do I negotiate a salary increase?,What are the steps to negotiate a salary increase?,1
How do I improve my English speaking skills?,How can I reduce stress and anxiety in daily life?,0
What is blockchain technology?,How do I improve my sleep quality?,0
How do I prepare for a job interview?,What are the best practices for software development?,0
What is machine learning and how does it work?,Please machine explain learning and how does it work?,1
How can I build a strong personal brand online?,How does the stock market work?,0
What are the best practices for software development?,What is the difference between Java and Python?,0
What are the health benefits of drinking green tea?,How can I reduce stress and anxiety in daily life?,0
What is blockchain technology?,Please explain blockchain technology?,1
How do I cook a perfect pasta dish at home?,What are the steps to cook a perfect pasta dish at home?,1
How can I lose weight quickly and safely?,How can I build a strong personal brand online?,0
What are the benefits of regular exercise?,How do I learn a new language quickly?,0
How can I lose weight quickly and safely?,What is the difference between AI and machine learning?,0
How do I start a successful business from scratch?,What are the steps to start a successful business from scratch?,1
How can I be more productive at work?,What are the benefits of regular exercise?,0
What is deep learning and neural networks?,Please explain deep learning neural and networks?,1
What is blockchain technology?,Please explain blockchain technology?,1
How can I save money on a tight budget?,What is the best way to save money on a tight budget?,1
What is data science and its applications?,How can I save money on a tight budget?,0
What are the symptoms of depression?,Can you describe the symptoms of depression?,1
What are the benefits of regular exercise?,Can you describe the benefits of regular exercise?,1
How do I cook a perfect pasta dish at home?,What are the benefits of regular exercise?,0
What is machine learning and how does it work?,What are the causes of climate change?,0
How do I learn a new language quickly?,What are the steps to learn a new language quickly?,1
How do I learn a new language quickly?,What are the steps to learn a new language quickly?,1
How can I save money on a tight budget?,What is the best way save to money on a tight budget?,1
What is blockchain technology?,What is deep learning and neural networks?,0
What are the causes of climate change?,How can I reduce stress and anxiety in daily life?,0
What are the benefits of regular exercise?,Can you describe benefits the of regular exercise?,1
What is the best way to learn Python programming?,How do I improve my sleep quality?,0
How do I cook a perfect pasta dish at home?,What is data science and its applications?,0
What are the causes of climate change?,What are the health benefits of drinking green tea?,0
What are the benefits of regular exercise?,Can you describe the benefits of regular exercise?,1
How can I improve my writing skills?,What is the best way to improve my writing skills?,1
How do I start a successful business from scratch?,What are the steps to start a successful from business scratch?,1
What is deep learning and neural networks?,Please explain deep learning and neural networks?,1
What are renewable energy sources?,What are the causes of climate change?,0
How can I improve my writing skills?,What are renewable energy sources?,0
What are the causes of climate change?,How can I be more productive at work?,0
